supplier ID,printer,order completion time,material,category,resolution,Price (USD)
219746,PowerSpec 3D Pro,2,Generic Standard PLA,ABS/PLA,300,4.8
225772,Aurora Z-603S,2,Generic Standard PLA,ABS/PLA,300,4.8
227101,ANET 3D A6,3,Generic Standard PLA,ABS/PLA,300,4.8
227101,ANET 3D A6,3,Generic Standard PLA,ABS/PLA,200,4.8
227101,ANET 3D A6,3,Generic Standard PLA,ABS/PLA,100,4.8
laughingmonkeylabs,Creality CR-10,2,Generic Standard PLA,ABS/PLA,400,4.8
thriftyworkshop,Core XY printer,2,Generic Standard PLA,ABS/PLA,200,4.8
thriftyworkshop,Core XY printer,2,Generic Standard PLA,ABS/PLA,200,4.8
165110,HyperCube,2,Generic Standard PLA,ABS/PLA,200,4.85
builditfull,FlashForge Creator Pro,1,Generic Standard PLA,ABS/PLA,200,4.85
builditfull,FlashForge Dreamer,1,Generic Standard PLA,ABS/PLA,200,4.85
builditfull,Other FDM,1,Generic Standard PLA,ABS/PLA,200,4.85
205940,Original Prusa i3 MK2,3,Generic Standard PLA,ABS/PLA,250,4.86
205940,Original Prusa i3 MK2S,3,Generic Standard PETG,PET,300,4.86
al3dprinting,Morgan Pro 2,2,Generic Standard PLA,ABS/PLA,100,4.9
al3dprinting,Morgan Pro 2,2,Generic Standard PETG,PET,200,4.9
214470,Zortrax M200,1,Generic Standard ABS,ABS/PLA,400,4.91
51790,Makerbot Replicator 2,2,Generic Standard PLA,ABS/PLA,300,4.94
108471,Ultimaker 2+,2,ColorFabb nGen,ABS/PLA,300,4.94
108471,Ultimaker 2+,2,ColorFabb _HT,ABS/PLA,300,4.94
3DFrontier,ANET 3D - A8,2,Generic Standard PLA,ABS/PLA,75,4.94
108471,Ultimaker 2+,2,ColorFabb Glowfill,ABS/PLA Filled,300,4.94
108471,Ultimaker 2+,2,ColorFabb woodFill,ABS/PLA Filled,300,4.94
108471,Ultimaker 2+,2,ColorFabb XT,ABS/PLA Filled,300,4.94
108471,Ultimaker 2+,2,Formfutura FlexFil,Biofilaments,300,4.94
108471,Ultimaker 2+,2,Generic Standard PETG,PET,300,4.94
3dprintmcallen,i3 HomeMade,2,Generic Standard PLA,ABS/PLA,200,4.96
106257,RepRap,4,Generic Standard PLA,ABS/PLA,200,4.98
106257,RepRap,4,Generic Standard ABS,ABS/PLA,300,4.98
56861,Kossel,2,Generic Standard PLA,ABS/PLA,100,5
56861,Kossel,2,Generic Standard PLA,ABS/PLA,200,5
70784,LulzBot Mini,2,Generic Standard PLA,ABS/PLA,100,5
70784,LulzBot Mini,2,Generic Standard PLA,ABS/PLA,300,5
70784,LulzBot Mini,2,Generic Standard PLA,ABS/PLA,200,5
86899,Ultimaker Original Plus,4,Generic Standard ABS,ABS/PLA,300,5
92935,CreatorBot 3D,4,Generic Standard PLA,ABS/PLA,100,5
92958,CreatorBot 3D,4,Generic Standard PLA,ABS/PLA,100,5
226289,Prusa Research Original Prusa i3 MK3,4,Generic Standard PLA,ABS/PLA,200,5
ampersand,Creality CR-10,3,Generic Standard PLA,ABS/PLA,300,5
just3D,Cube 3,2,Generic Standard ABS,ABS/PLA,200,5
just3D,Cube 3,2,Generic Standard PLA,ABS/PLA,200,5
92935,CreatorBot 3D,4,Generic Woodfill PLA,ABS/PLA Filled,100,5
226289,Prusa Research Original Prusa i3 MK3,4,SainSmart Metal x PLA Blend Copper,ABS/PLA Filled,200,5
226289,Prusa Research Original Prusa i3 MK3,4,Generic Metalfill PLA,ABS/PLA Filled,200,5
226289,Prusa Research Original Prusa i3 MK3,4,SainSmart Metal x PLA Blend Aluminum,ABS/PLA Filled,200,5
JacksonHub,LulzBot Mini,3,Polymaker Polymax PLA,ABS/PLA Filled,250,5
226289,Prusa Research Original Prusa i3 MK3,4,Generic Standard PETG,PET,200,5
226289,Prusa Research Original Prusa i3 MK3,4,eSUN PETG,PET,200,5
89526,CreatBot DX,2,Generic Standard PLA,ABS/PLA,300,5.04
siegeam,Original Prusa i3 MK2S,1,Generic Standard ASA,ASA,200,5.06
siegeam,BigRep.ONE 3,2,Generic Standard ASA,ASA,200,5.06
65310,Reflex3,2,Generic Standard PLA,ABS/PLA,200,5.07
65310,Wanhao Duplicator i3 V2,2,Generic Standard PLA,ABS/PLA,200,5.07
169952,3DCPI-02,2,Generic Standard PLA,ABS/PLA,300,5.08
BSHub,Printrbot Simple Metal,2,Generic Standard PLA,ABS/PLA,100,5.08
greenlee,Wanhao Duplicator 6,1,Generic Standard PLA,ABS/PLA,200,5.08
61472,Prusa i3,2,Generic Standard PLA,ABS/PLA,200,5.09
202222,Kossel,3,Generic Standard PLA,ABS/PLA,200,5.1
202222,Maker Select,3,Generic Standard PLA,ABS/PLA,200,5.1
221811,Monoprice MP Select Mini,2,Generic Standard PLA,ABS/PLA,175,5.1
3dprintmcallen,P3Steel (custom),2,Generic Standard PLA,ABS/PLA,200,5.1
201462,Prusa i3 Hephestos,1,Generic Standard PLA,ABS/PLA,100,5.11
226824,ANET 3D - A8,2,Generic Standard PLA,ABS/PLA,100,5.11
228316,Prusa i3,1,Generic Standard PLA,ABS/PLA,200,5.11
228316,Prusa i3,1,Generic Standard PLA,ABS/PLA,200,5.11
228316,Tronxy X5S,1,Generic Standard PLA,ABS/PLA,200,5.11
228316,Prusa Research Original Prusa i3 MK3,2,Generic Standard PLA,ABS/PLA,200,5.11
228316,Prusa Research Original Prusa i3 MK3,1,Generic Standard PLA,ABS/PLA,200,5.11
228316,Prusa Research Original Prusa i3 MK3,1,Generic Standard PLA,ABS/PLA,200,5.11
DoubleJ,Prusa i3 Hephestos,1,Generic Standard PLA,ABS/PLA,100,5.11
al3dprinting,Morgan Pro 2,2,Generic Standard PETG,PET,100,5.18
212899,Mark 1,2,Generic Standard ABS,ABS/PLA,100,5.22
laughingmonkeylabs,Creality CR-10,2,Generic Standard PLA,ABS/PLA,250,5.22
that3dshop,Ultimaker 2,1,Generic Standard ABS,ABS/PLA,200,5.22
90728,BigRep.ONE 3,7,Generic Standard PLA,ABS/PLA,100,5.23
106257,RepRap,4,Generic Standard PLA,ABS/PLA,100,5.26
106257,RepRap,4,Generic Standard ABS,ABS/PLA,200,5.26
196967,Rostock MAX V2,2,Generic Standard ABS,ABS/PLA,200,5.26
196967,Rostock MAX V2,2,Generic Standard PLA,ABS/PLA,200,5.26
196967,Raise3D N2 Plus,2,Generic Standard ABS,ABS/PLA,200,5.26
196967,Raise3D N2 Plus,2,Generic Standard PLA,ABS/PLA,200,5.26
185966,Makerbot Replicator 2,1,Generic Standard PLA,ABS/PLA,200,5.27
210889,Prusa i3,2,Generic Standard ABS,ABS/PLA,200,5.27
210889,Prusa i3,2,Generic Standard PLA,ABS/PLA,200,5.27
alessio,Ultimaker Original Plus,2,Generic Standard PLA,ABS/PLA,300,5.27
86899,BCN3D SIGMA,3,Formfutura TitanX,ABS/PLA,300,5.28
